item	itemLabel	value	valueLabel
http://www.wikidata.org/entity/Q66442222	Inkubator	http://www.wikidata.org/entity/Q15	Africa
http://www.wikidata.org/entity/Q78564798	Miss Africa 2018	http://www.wikidata.org/entity/Q15	Africa
http://www.wikidata.org/entity/P3412	Canadian Environmental Sustainability Indicators ID (Protected areas)	http://www.wikidata.org/entity/Q16	Canada
http://www.wikidata.org/entity/P3507	Bivouac.com mountain ID	http://www.wikidata.org/entity/Q16	Canada
http://www.wikidata.org/entity/P3522	NHL.com player ID	http://www.wikidata.org/entity/Q16	Canada
http://www.wikidata.org/entity/P3567	HHOF.com NHL player ID	http://www.wikidata.org/entity/Q16	Canada
http://www.wikidata.org/entity/P3611	Borden Code	http://www.wikidata.org/entity/Q16	Canada
http://www.wikidata.org/entity/P3647	NBA.com player ID	http://www.wikidata.org/entity/Q16	Canada
http://www.wikidata.org/entity/P3685	ESPN.com NBA player ID	http://www.wikidata.org/entity/Q16	Canada
http://www.wikidata.org/entity/P3687	ESPN.com NHL player ID	http://www.wikidata.org/entity/Q16	Canada
http://www.wikidata.org/entity/P3692	NCAA sports team ID	http://www.wikidata.org/entity/Q16	Canada
http://www.wikidata.org/entity/P3696	Sports-Reference.com college basketball player ID	http://www.wikidata.org/entity/Q16	Canada
http://www.wikidata.org/entity/P3770	PeakFinder ID	http://www.wikidata.org/entity/Q16	Canada
http://www.wikidata.org/entity/P3813	Bivouac.com pass ID	http://www.wikidata.org/entity/Q16	Canada
http://www.wikidata.org/entity/P3856	Quebec municipalities geographical code	http://www.wikidata.org/entity/Q16	Canada
http://www.wikidata.org/entity/P3920	Canadian Coastguard Lighthouse ID	http://www.wikidata.org/entity/Q16	Canada
http://www.wikidata.org/entity/P3948	MLL player ID	http://www.wikidata.org/entity/Q16	Canada
http://www.wikidata.org/entity/P3955	NLL player ID	http://www.wikidata.org/entity/Q16	Canada
http://www.wikidata.org/entity/P4019	USL Championship player ID	http://www.wikidata.org/entity/Q16	Canada
http://www.wikidata.org/entity/P4054	Canadian Olympic Committee athlete ID	http://www.wikidata.org/entity/Q16	Canada
http://www.wikidata.org/entity/P4120	Ontario Heritage Act Register ID	http://www.wikidata.org/entity/Q16	Canada
http://www.wikidata.org/entity/P4276	Cinémathèque québécoise work identifier	http://www.wikidata.org/entity/Q16	Canada
http://www.wikidata.org/entity/P4334	Heritage Conservation District of Ontario ID	http://www.wikidata.org/entity/Q16	Canada
http://www.wikidata.org/entity/P4392	BC Sports Hall of Fame athlete ID	http://www.wikidata.org/entity/Q16	Canada
http://www.wikidata.org/entity/P4396	Alberta Sports Hall of Fame and Museum athlete ID	http://www.wikidata.org/entity/Q16	Canada
http://www.wikidata.org/entity/P4398	Canada's Sports Hall of Fame athlete ID	http://www.wikidata.org/entity/Q16	Canada
http://www.wikidata.org/entity/P4406	Nova Scotia Sport Hall of Fame ID	http://www.wikidata.org/entity/Q16	Canada
http://www.wikidata.org/entity/P4412	Ontario Sports Hall of Fame athlete ID	http://www.wikidata.org/entity/Q16	Canada
http://www.wikidata.org/entity/P4413	Manitoba Sports Hall of Fame athlete ID	http://www.wikidata.org/entity/Q16	Canada
http://www.wikidata.org/entity/P4414	New Brunswick Sports Hall of Fame athlete ID	http://www.wikidata.org/entity/Q16	Canada
http://www.wikidata.org/entity/P4416	Panthéon des sports du Québec ID	http://www.wikidata.org/entity/Q16	Canada
http://www.wikidata.org/entity/P4462	Canadian Baseball Hall of Fame inductee ID	http://www.wikidata.org/entity/Q16	Canada
http://www.wikidata.org/entity/P4463	Canadian Ski Hall of Fame inductee ID	http://www.wikidata.org/entity/Q16	Canada
