item	itemLabel	value	valueLabel
http://www.wikidata.org/entity/Q81525886	Joanna Rajska	http://www.wikidata.org/entity/Q1	Universe
http://www.wikidata.org/entity/Q1458377	Kalma	http://www.wikidata.org/entity/Q4	death
http://www.wikidata.org/entity/Q15715949	Museum of Death	http://www.wikidata.org/entity/Q4	death
http://www.wikidata.org/entity/Q1610001	Klaus N. Frick	http://www.wikidata.org/entity/Q15	Africa
http://www.wikidata.org/entity/Q2174585	African Studies Centre Leiden	http://www.wikidata.org/entity/Q15	Africa
http://www.wikidata.org/entity/Q3124160	Gérard Marin	http://www.wikidata.org/entity/Q15	Africa
http://www.wikidata.org/entity/Q4201381	Institute for African Studies	http://www.wikidata.org/entity/Q15	Africa
http://www.wikidata.org/entity/Q12026757	Josef Vágner	http://www.wikidata.org/entity/Q15	Africa
http://www.wikidata.org/entity/Q15127495	Ghislaine Dupont	http://www.wikidata.org/entity/Q15	Africa
http://www.wikidata.org/entity/Q23926421	Jean Jolly	http://www.wikidata.org/entity/Q15	Africa
http://www.wikidata.org/entity/Q24939907	François-Xavier Fauvelle	http://www.wikidata.org/entity/Q15	Africa
http://www.wikidata.org/entity/Q28521056	Wiki Indaba	http://www.wikidata.org/entity/Q15	Africa
http://www.wikidata.org/entity/Q29885309	Thomas P. Ofcansky	http://www.wikidata.org/entity/Q15	Africa
http://www.wikidata.org/entity/Q55759653	Edmund Abaka	http://www.wikidata.org/entity/Q15	Africa
http://www.wikidata.org/entity/Q69826021	Mary Jo Arnoldi	http://www.wikidata.org/entity/Q15	Africa
http://www.wikidata.org/entity/Q2649180	Allied Council for Japan	http://www.wikidata.org/entity/Q17	Japan
http://www.wikidata.org/entity/Q6170522	Q6170522	http://www.wikidata.org/entity/Q17	Japan
http://www.wikidata.org/entity/Q47451802	Office of Japanese Affairs	http://www.wikidata.org/entity/Q17	Japan
http://www.wikidata.org/entity/Q89285021	Richard S. Fiske	http://www.wikidata.org/entity/Q17	Japan
http://www.wikidata.org/entity/Q2208142	Dieter Carl Wasshausen	http://www.wikidata.org/entity/Q18	South America
http://www.wikidata.org/entity/Q12077886	Alfred L. Gardner	http://www.wikidata.org/entity/Q18	South America
http://www.wikidata.org/entity/Q21502710	R. Terry Chesser	http://www.wikidata.org/entity/Q18	South America
http://www.wikidata.org/entity/Q164735	Johan Christian Dahl	http://www.wikidata.org/entity/Q20	Norway
http://www.wikidata.org/entity/Q16513975	Angelique Chrisafis	http://www.wikidata.org/entity/Q27	Ireland
http://www.wikidata.org/entity/Q5041292	Carlile Aylmer Macartney	http://www.wikidata.org/entity/Q28	Hungary
http://www.wikidata.org/entity/Q18197833	Édouard Sayous	http://www.wikidata.org/entity/Q28	Hungary
http://www.wikidata.org/entity/Q5820009	Edward Meryon Wilson	http://www.wikidata.org/entity/Q29	Spain
http://www.wikidata.org/entity/Q498840	David Janssen	http://www.wikidata.org/entity/Q30	United States of America
http://www.wikidata.org/entity/Q5702231	Helen Farnsworth Mears	http://www.wikidata.org/entity/Q30	United States of America
http://www.wikidata.org/entity/Q63947947	Nancy H. Zingale	http://www.wikidata.org/entity/Q30	United States of America
http://www.wikidata.org/entity/Q4991094	Eliza Roszkowska Öberg	http://www.wikidata.org/entity/Q34	Sweden
http://www.wikidata.org/entity/Q9152105	Andrzej Gowarzewski	http://www.wikidata.org/entity/Q36	Poland
http://www.wikidata.org/entity/Q9274839	Gotfryd Gremlowski	http://www.wikidata.org/entity/Q36	Poland
http://www.wikidata.org/entity/Q21524405	Bożena Lidia Szmel	http://www.wikidata.org/entity/Q36	Poland
http://www.wikidata.org/entity/Q29595719	Natalia Aszkenazy	http://www.wikidata.org/entity/Q36	Poland
http://www.wikidata.org/entity/Q52425880	Janine Ponty	http://www.wikidata.org/entity/Q36	Poland
http://www.wikidata.org/entity/Q2941840	Catherine Brice	http://www.wikidata.org/entity/Q38	Italy
http://www.wikidata.org/entity/Q90791	Johann Wilhelm Zinkeisen	http://www.wikidata.org/entity/Q41	Greece
http://www.wikidata.org/entity/Q984165	Mark Mazower	http://www.wikidata.org/entity/Q41	Greece
http://www.wikidata.org/entity/Q3478425	Semih Vaner	http://www.wikidata.org/entity/Q43	Turkey
http://www.wikidata.org/entity/Q4818217	Roderic H. Davison	http://www.wikidata.org/entity/Q43	Turkey
http://www.wikidata.org/entity/Q9024453	Louis Moritz Trautmann	http://www.wikidata.org/entity/Q44	beer
http://www.wikidata.org/entity/Q27894668	An de Ryck	http://www.wikidata.org/entity/Q44	beer
http://www.wikidata.org/entity/Q73267069	Jaime Conde Zurita	http://www.wikidata.org/entity/Q44	beer
http://www.wikidata.org/entity/Q5676464	Journal Europäischer Orchideen	http://www.wikidata.org/entity/Q46	Europe
http://www.wikidata.org/entity/Q64503902	Berichte aus den Arbeitskreisen Heimische Orchideen	http://www.wikidata.org/entity/Q46	Europe
http://www.wikidata.org/entity/Q4181293	Petra Procházková	http://www.wikidata.org/entity/Q48	Asia
http://www.wikidata.org/entity/Q6127558	Jamal J. Elias	http://www.wikidata.org/entity/Q48	Asia
http://www.wikidata.org/entity/Q2977381	Claude Fohlen	http://www.wikidata.org/entity/Q49	North America
http://www.wikidata.org/entity/Q8019783	William W. Fitzhugh	http://www.wikidata.org/entity/Q49	North America
http://www.wikidata.org/entity/Q18630993	Bruce D. Smith	http://www.wikidata.org/entity/Q49	North America
http://www.wikidata.org/entity/Q57230480	Torben C. Rick	http://www.wikidata.org/entity/Q49	North America
http://www.wikidata.org/entity/Q89132456	John Christopher Dudar	http://www.wikidata.org/entity/Q49	North America
http://www.wikidata.org/entity/Q89595973	Jeffrey M. Clayton	http://www.wikidata.org/entity/Q49	North America
http://www.wikidata.org/entity/Q4789272	Argentine Antarctic Program	http://www.wikidata.org/entity/Q51	Antarctica
http://www.wikidata.org/entity/Q4958705	Brazilian Antarctic Program	http://www.wikidata.org/entity/Q51	Antarctica
http://www.wikidata.org/entity/Q19866248	Catherine Corrigan	http://www.wikidata.org/entity/Q51	Antarctica
http://www.wikidata.org/entity/Q24702106	Doris Abele	http://www.wikidata.org/entity/Q51	Antarctica
http://www.wikidata.org/entity/Q24713009	Jennifer Lee	http://www.wikidata.org/entity/Q51	Antarctica
http://www.wikidata.org/entity/Q24716837	Hong Kum Lee	http://www.wikidata.org/entity/Q51	Antarctica
http://www.wikidata.org/entity/Q24718066	Carlotta Escutia Dotti	http://www.wikidata.org/entity/Q51	Antarctica
http://www.wikidata.org/entity/Q26252314	Christine Siddoway	http://www.wikidata.org/entity/Q51	Antarctica
http://www.wikidata.org/entity/Q26480639	Alison Murray (scientist)	http://www.wikidata.org/entity/Q51	Antarctica
http://www.wikidata.org/entity/Q26789242	Veronica Vallejos	http://www.wikidata.org/entity/Q51	Antarctica
http://www.wikidata.org/entity/Q26869401	Elizabeth Chipman	http://www.wikidata.org/entity/Q51	Antarctica
http://www.wikidata.org/entity/Q26925656	Korean Polar Research Institute	http://www.wikidata.org/entity/Q51	Antarctica
http://www.wikidata.org/entity/Q15080578	Marcus Cyron	http://www.wikidata.org/entity/Q52	Wikipedia
http://www.wikidata.org/entity/Q16438247	Adrianne Wadewitz	http://www.wikidata.org/entity/Q52	Wikipedia
http://www.wikidata.org/entity/Q21013724	Jonathan Groß	http://www.wikidata.org/entity/Q52	Wikipedia
http://www.wikidata.org/entity/Q23978506	Thomas Springer	http://www.wikidata.org/entity/Q52	Wikipedia
http://www.wikidata.org/entity/Q27096244	Jesús Tramullas	http://www.wikidata.org/entity/Q52	Wikipedia
http://www.wikidata.org/entity/Q54475790	WikiProject Research Library in Olomouc	http://www.wikidata.org/entity/Q52	Wikipedia
http://www.wikidata.org/entity/Q64212060	Cool Freaks' Wikipedia Club	http://www.wikidata.org/entity/Q52	Wikipedia
http://www.wikidata.org/entity/Q70656681	Mateus Henrique de Faria Pereira	http://www.wikidata.org/entity/Q52	Wikipedia
http://www.wikidata.org/entity/Q92832	Peter Norvig	http://www.wikidata.org/entity/Q68	computer
http://www.wikidata.org/entity/Q93093	Jacek Karpiński	http://www.wikidata.org/entity/Q68	computer
http://www.wikidata.org/entity/Q242643	Naomi Novik	http://www.wikidata.org/entity/Q68	computer
http://www.wikidata.org/entity/Q1396305	Sergey Alexeyevich Lebedev	http://www.wikidata.org/entity/Q68	computer
http://www.wikidata.org/entity/Q1961494	Andrey Ershov	http://www.wikidata.org/entity/Q68	computer
http://www.wikidata.org/entity/Q3510102	Mikhail Kartsev	http://www.wikidata.org/entity/Q68	computer
http://www.wikidata.org/entity/Q4097210	Nikolay Brusentsov	http://www.wikidata.org/entity/Q68	computer
http://www.wikidata.org/entity/Q4186059	Q4186059	http://www.wikidata.org/entity/Q68	computer
http://www.wikidata.org/entity/Q4210648	Anatoly Kalyayev	http://www.wikidata.org/entity/Q68	computer
http://www.wikidata.org/entity/Q4277937	Q4277937	http://www.wikidata.org/entity/Q68	computer
http://www.wikidata.org/entity/Q4313169	Aleksandr Narinyani	http://www.wikidata.org/entity/Q68	computer
http://www.wikidata.org/entity/Q4365349	A. N. Plotnikov	http://www.wikidata.org/entity/Q68	computer
http://www.wikidata.org/entity/Q4425052	Vladimir Smolov	http://www.wikidata.org/entity/Q68	computer
http://www.wikidata.org/entity/Q7360185	Roland Carl Backhouse	http://www.wikidata.org/entity/Q68	computer
http://www.wikidata.org/entity/Q18213918	Alice Recoque	http://www.wikidata.org/entity/Q68	computer
http://www.wikidata.org/entity/Q63920313	Michael Amundsen	http://www.wikidata.org/entity/Q68	computer
http://www.wikidata.org/entity/Q82305701	Æleen Frisch	http://www.wikidata.org/entity/Q68	computer
http://www.wikidata.org/entity/Q181	Jimmy Wales	http://www.wikidata.org/entity/Q75	Internet
http://www.wikidata.org/entity/Q92623	Jon Postel	http://www.wikidata.org/entity/Q75	Internet
http://www.wikidata.org/entity/Q4530004	Igor Eidman	http://www.wikidata.org/entity/Q75	Internet
http://www.wikidata.org/entity/Q6390022	Q6390022	http://www.wikidata.org/entity/Q75	Internet
http://www.wikidata.org/entity/Q13816220	Marleen Stikker	http://www.wikidata.org/entity/Q75	Internet
http://www.wikidata.org/entity/Q15277820	Andreu Veà-Baró	http://www.wikidata.org/entity/Q75	Internet
http://www.wikidata.org/entity/Q16242984	María Elena Meneses Rocha	http://www.wikidata.org/entity/Q75	Internet
http://www.wikidata.org/entity/Q16517697	Iratxe Esnaola Arribillaga	http://www.wikidata.org/entity/Q75	Internet
http://www.wikidata.org/entity/Q44870885	Laila Alawa	http://www.wikidata.org/entity/Q75	Internet
http://www.wikidata.org/entity/Q52488603	UNESCO Chair on Cyberspace and Culture	http://www.wikidata.org/entity/Q75	Internet
http://www.wikidata.org/entity/Q52488868	Journal of Cyberspace Studies	http://www.wikidata.org/entity/Q75	Internet
http://www.wikidata.org/entity/Q53470445	Vincent Eisfeld	http://www.wikidata.org/entity/Q75	Internet
http://www.wikidata.org/entity/Q55609449	Dfinity	http://www.wikidata.org/entity/Q75	Internet
http://www.wikidata.org/entity/Q58042776	Q58042776	http://www.wikidata.org/entity/Q75	Internet
http://www.wikidata.org/entity/Q67485564	Cyberspace Research Policy Center	http://www.wikidata.org/entity/Q75	Internet
http://www.wikidata.org/entity/Q81291303	Thamizhpparithi Maari	http://www.wikidata.org/entity/Q75	Internet
http://www.wikidata.org/entity/Q81793089	Kin-Lu Wong	http://www.wikidata.org/entity/Q75	Internet
http://www.wikidata.org/entity/Q25991769	Holly Dagres	http://www.wikidata.org/entity/Q79	Egypt
http://www.wikidata.org/entity/Q55740041	Ernest Godard	http://www.wikidata.org/entity/Q79	Egypt
http://www.wikidata.org/entity/Q22668172	Geert Van Pamel	http://www.wikidata.org/entity/Q83	MediaWiki
http://www.wikidata.org/entity/Q82734911	Janelle Jenstad	http://www.wikidata.org/entity/Q84	London
http://www.wikidata.org/entity/Q42539059	International Headache Genetics Consortium	http://www.wikidata.org/entity/Q86	headache
http://www.wikidata.org/entity/Q80204395	Paul Selby	http://www.wikidata.org/entity/Q91	Abraham Lincoln
http://www.wikidata.org/entity/Q19690494	Ardroid	http://www.wikidata.org/entity/Q94	Android
http://www.wikidata.org/entity/Q3103747	Georgette Soustelle	http://www.wikidata.org/entity/Q96	Mexico
http://www.wikidata.org/entity/Q6152514	Jane MacLaren Walsh	http://www.wikidata.org/entity/Q96	Mexico
http://www.wikidata.org/entity/Q12077886	Alfred L. Gardner	http://www.wikidata.org/entity/Q96	Mexico
http://www.wikidata.org/entity/Q28658219	Eva Verbitsky Hunt	http://www.wikidata.org/entity/Q96	Mexico
http://www.wikidata.org/entity/Q89127118	Ronald L. Bishop	http://www.wikidata.org/entity/Q96	Mexico
http://www.wikidata.org/entity/Q22109235	James G. Mead	http://www.wikidata.org/entity/Q97	Atlantic Ocean
http://www.wikidata.org/entity/Q60308529	Charles Turrill	http://www.wikidata.org/entity/Q99	California
