item	itemLabel	value	valueLabel
http://www.wikidata.org/entity/Q5511874	G-616	http://www.wikidata.org/entity/Q1	Universe
http://www.wikidata.org/entity/Q83222	Mesozoic	http://www.wikidata.org/entity/Q2	Earth
http://www.wikidata.org/entity/Q208378	Panthalassa	http://www.wikidata.org/entity/Q2	Earth
http://www.wikidata.org/entity/Q673166	gravity of Earth	http://www.wikidata.org/entity/Q2	Earth
http://www.wikidata.org/entity/Q834777	United Earth Directorate	http://www.wikidata.org/entity/Q2	Earth
http://www.wikidata.org/entity/Q889737	ground segment	http://www.wikidata.org/entity/Q2	Earth
http://www.wikidata.org/entity/Q6054658	international figure skating	http://www.wikidata.org/entity/Q2	Earth
http://www.wikidata.org/entity/Q17410495	Esperanto and Free Knowledge	http://www.wikidata.org/entity/Q2	Earth
http://www.wikidata.org/entity/Q18128152	Sleepy Hollow Country Club	http://www.wikidata.org/entity/Q2	Earth
http://www.wikidata.org/entity/Q41073808	Earth's climate	http://www.wikidata.org/entity/Q2	Earth
http://www.wikidata.org/entity/Q56100735	Commons:Wiki Loves ZEOs 2018	http://www.wikidata.org/entity/Q2	Earth
http://www.wikidata.org/entity/Q56524083	Woman ոիտհ jug (Sketch)	http://www.wikidata.org/entity/Q2	Earth
http://www.wikidata.org/entity/Q361	World War I	http://www.wikidata.org/entity/Q15	Africa
http://www.wikidata.org/entity/Q362	World War II	http://www.wikidata.org/entity/Q15	Africa
http://www.wikidata.org/entity/Q8683	Cold War	http://www.wikidata.org/entity/Q15	Africa
http://www.wikidata.org/entity/Q167455	First Moroccan Crisis	http://www.wikidata.org/entity/Q15	Africa
http://www.wikidata.org/entity/Q181336	Dakar Rally	http://www.wikidata.org/entity/Q15	Africa
http://www.wikidata.org/entity/Q386443	African Rally Championship	http://www.wikidata.org/entity/Q15	Africa
http://www.wikidata.org/entity/Q580864	economy of Africa	http://www.wikidata.org/entity/Q15	Africa
http://www.wikidata.org/entity/Q746287	Oldowan	http://www.wikidata.org/entity/Q15	Africa
http://www.wikidata.org/entity/Q786942	Azania	http://www.wikidata.org/entity/Q15	Africa
http://www.wikidata.org/entity/Q1075929	African people	http://www.wikidata.org/entity/Q15	Africa
http://www.wikidata.org/entity/Q1358589	HIV/AIDS in Africa	http://www.wikidata.org/entity/Q15	Africa
http://www.wikidata.org/entity/Q2270405	geography of Zambia	http://www.wikidata.org/entity/Q15	Africa
http://www.wikidata.org/entity/Q2967061	2009 flu pandemic in Africa	http://www.wikidata.org/entity/Q15	Africa
http://www.wikidata.org/entity/Q3062431	Emin Pasha Relief Expedition	http://www.wikidata.org/entity/Q15	Africa
http://www.wikidata.org/entity/Q3516528	Tazunu	http://www.wikidata.org/entity/Q15	Africa
http://www.wikidata.org/entity/Q4689575	Africa Liberal Network	http://www.wikidata.org/entity/Q15	Africa
http://www.wikidata.org/entity/Q4689914	African Slave Trade Patrol	http://www.wikidata.org/entity/Q15	Africa
http://www.wikidata.org/entity/Q4927224	Blockade of Africa	http://www.wikidata.org/entity/Q15	Africa
http://www.wikidata.org/entity/Q5340966	education in Africa	http://www.wikidata.org/entity/Q15	Africa
http://www.wikidata.org/entity/Q5919466	Q5919466	http://www.wikidata.org/entity/Q15	Africa
http://www.wikidata.org/entity/Q5985448	ice hockey in Africa	http://www.wikidata.org/entity/Q15	Africa
http://www.wikidata.org/entity/Q8031160	women's football in Africa	http://www.wikidata.org/entity/Q15	Africa
